Teff log_g Mass Mbol BC U B V R I J H Ks Y J_1 H_1 K W1 W2 W3 W4 S36 S45 S58 S80 u g r i z g_1 r_1 i_1 z_1 y G2 G2_BP G2_RP G3 G3_BP G3_RP FUV NUV Age
4000.0 7.0 0.157 14.76 -0.539 17.529 16.669 15.299 14.563 13.867 13.186 13.104 13.082 13.459 13.142 13.077 13.051 12.629 12.458 12.134 12.011 12.581 12.468 12.364 12.236 18.393 16.017 14.856 14.416 14.177 15.814 14.844 14.407 14.203 14.109 14.818 15.532 14.02 14.839 15.541 14.031 39.127 24.641 2348.0
4250.0 7.0 0.158 14.486 -0.495 16.874 16.203 14.981 14.306 13.652 12.973 12.733 12.689 13.261 12.929 12.711 12.658 12.35 12.203 11.981 11.925 12.312 12.211 12.126 12.037 17.732 15.618 14.583 14.188 13.976 15.439 14.573 14.18 13.999 13.914 14.554 15.203 13.796 14.575 15.213 13.808 34.989 23.461 2073.0
4500.0 7.0 0.16 14.224 -0.422 16.223 15.729 14.646 14.03 13.425 12.791 12.456 12.38 13.068 12.748 12.439 12.349 12.126 12.012 11.876 11.845 12.097 12.018 11.959 11.906 17.074 15.206 14.293 13.945 13.765 15.048 14.284 13.938 13.784 13.714 14.271 14.853 13.558 14.291 14.865 13.571 31.114 22.371 1810.0
4750.0 7.0 0.164 13.963 -0.344 15.587 15.262 14.306 13.747 13.19 12.611 12.248 12.144 12.871 12.569 12.234 12.112 11.952 11.87 11.782 11.764 11.932 11.874 11.835 11.801 16.432 14.795 13.995 13.694 13.547 14.657 13.988 13.688 13.561 13.508 13.978 14.496 13.313 13.998 14.51 13.326 29.015 21.313 1494.0
5000.0 7.0 0.17 13.704 -0.27 14.965 14.812 13.974 13.468 12.956 12.432 12.077 11.97 12.673 12.391 12.062 11.938 11.815 11.753 11.69 11.679 11.8 11.756 11.727 11.703 15.803 14.396 13.702 13.446 13.329 14.277 13.697 13.441 13.339 13.301 13.686 14.144 13.069 13.706 14.16 13.083 27.8 20.34 1203.0
5250.0 7.0 0.175 13.456 -0.214 14.381 14.403 13.67 13.212 12.741 12.268 11.93 11.835 12.491 12.228 11.915 11.804 11.703 11.653 11.607 11.603 11.691 11.655 11.633 11.616 15.213 14.033 13.434 13.218 13.129 13.931 13.43 13.214 13.135 13.112 13.416 13.817 12.845 13.435 13.837 12.859 26.749 19.417 1020.0
5500.0 7.0 0.181 13.221 -0.178 13.866 14.044 13.399 12.982 12.549 12.119 11.799 11.718 12.328 12.079 11.783 11.688 11.605 11.566 11.536 11.535 11.596 11.567 11.552 11.54 14.695 13.71 13.195 13.014 12.949 13.623 13.191 13.011 12.953 12.941 13.172 13.524 12.644 13.191 13.546 12.659 25.819 18.491 896.0
6000.0 7.0 0.189 12.796 -0.144 13.071 13.454 12.94 12.595 12.227 11.87 11.583 11.532 12.055 11.832 11.565 11.503 11.452 11.431 11.426 11.421 11.446 11.432 11.427 11.425 13.9 13.172 12.791 12.672 12.65 13.105 12.788 12.67 12.647 12.657 12.757 13.028 12.307 12.776 13.056 12.323 24.371 16.78 703.5
6500.0 7.0 0.193 12.424 -0.141 12.497 12.986 12.565 12.277 11.963 11.672 11.422 11.393 11.833 11.636 11.403 11.365 11.338 11.332 11.336 11.321 11.336 11.331 11.333 11.336 13.327 12.739 12.459 12.39 12.404 12.687 12.457 12.39 12.397 12.425 12.415 12.625 12.029 12.433 12.658 12.047 22.872 15.512 557.1
7000.0 7.0 0.197 12.081 -0.155 12.044 12.589 12.235 11.993 11.725 11.497 11.285 11.274 11.634 11.462 11.265 11.247 11.236 11.238 11.243 11.226 11.236 11.238 11.243 11.246 12.877 12.365 12.164 12.138 12.184 12.323 12.163 12.139 12.172 12.217 12.11 12.275 11.78 12.128 12.31 11.799 21.28 14.589 440.4
7500.0 7.0 0.201 11.761 -0.176 11.672 12.24 11.937 11.735 11.509 11.338 11.164 11.167 11.453 11.306 11.143 11.141 11.141 11.148 11.152 11.137 11.142 11.148 11.153 11.156 12.508 12.032 11.897 11.908 11.983 11.998 11.897 11.91 11.968 12.028 11.834 11.962 11.554 11.852 11.999 11.573 19.562 13.878 345.7
8000.0 7.0 0.204 11.461 -0.2 11.359 11.925 11.661 11.497 11.31 11.192 11.055 11.069 11.285 11.163 11.032 11.043 11.051 11.061 11.066 11.052 11.053 11.061 11.066 11.068 12.198 11.728 11.65 11.696 11.798 11.7 11.65 11.699 11.78 11.855 11.579 11.677 11.345 11.597 11.715 11.364 18.042 13.308 268.3
8500.0 7.0 0.208 11.179 -0.222 11.089 11.635 11.401 11.273 11.124 11.057 10.954 10.977 11.128 11.03 10.931 10.951 10.963 10.976 10.982 10.971 10.966 10.976 10.981 10.984 11.932 11.446 11.419 11.498 11.627 11.423 11.42 11.501 11.605 11.694 11.341 11.414 11.15 11.358 11.451 11.17 16.828 12.833 205.0
9000.0 7.0 0.211 10.912 -0.244 10.849 11.367 11.156 11.063 10.951 10.93 10.861 10.891 10.981 10.906 10.836 10.864 10.879 10.893 10.901 10.893 10.882 10.894 10.899 10.902 11.696 11.183 11.203 11.312 11.469 11.162 11.203 11.317 11.444 11.545 11.116 11.167 10.969 11.134 11.205 10.989 15.839 12.424 152.7
9500.0 7.0 0.215 10.659 -0.269 10.632 11.119 10.929 10.87 10.793 10.814 10.776 10.81 10.846 10.793 10.75 10.783 10.798 10.813 10.823 10.819 10.801 10.814 10.818 10.822 11.483 10.939 11.003 11.142 11.325 10.921 11.003 11.147 11.297 11.409 10.908 10.939 10.802 10.926 10.977 10.824 14.952 12.06 109.8
10000.0 7.0 0.218 10.421 -0.308 10.438 10.899 10.729 10.701 10.658 10.714 10.702 10.738 10.73 10.694 10.676 10.711 10.724 10.738 10.75 10.75 10.727 10.739 10.743 10.748 11.291 10.724 10.828 10.996 11.202 10.708 10.828 11.002 11.172 11.292 10.725 10.738 10.659 10.744 10.775 10.681 13.94 11.738 77.46
10500.0 7.0 0.221 10.194 -0.373 10.27 10.717 10.567 10.566 10.552 10.634 10.641 10.677 10.637 10.616 10.614 10.65 10.661 10.674 10.689 10.692 10.664 10.676 10.68 10.685 11.125 10.547 10.688 10.88 11.105 10.534 10.689 10.887 11.074 11.2 10.577 10.573 10.545 10.595 10.61 10.568 12.951 11.459 57.21
11000.0 7.0 0.224 9.98 -0.467 10.136 10.577 10.447 10.467 10.474 10.575 10.592 10.628 10.569 10.557 10.565 10.601 10.611 10.624 10.639 10.646 10.613 10.625 10.629 10.635 10.992 10.411 10.585 10.797 11.033 10.401 10.586 10.804 11.001 11.131 10.465 10.448 10.462 10.483 10.485 10.485 12.113 11.229 44.53
11500.0 7.0 0.226 9.775 -0.581 10.025 10.467 10.356 10.393 10.414 10.527 10.549 10.585 10.515 10.509 10.522 10.558 10.568 10.58 10.598 10.605 10.57 10.581 10.586 10.592 10.881 10.306 10.507 10.733 10.976 10.299 10.508 10.74 10.944 11.076 10.379 10.35 10.398 10.397 10.388 10.421 11.495 11.04 35.17
12000.0 7.0 0.228 9.579 -0.687 9.902 10.354 10.265 10.315 10.349 10.474 10.502 10.539 10.457 10.456 10.475 10.512 10.524 10.537 10.557 10.566 10.526 10.538 10.544 10.551 10.757 10.201 10.426 10.664 10.914 10.196 10.427 10.672 10.881 11.016 10.289 10.251 10.329 10.308 10.289 10.352 11.103 10.852 27.96
12500.0 7.0 0.231 9.39 -0.787 9.768 10.244 10.177 10.234 10.28 10.418 10.452 10.491 10.396 10.401 10.425 10.465 10.479 10.494 10.515 10.525 10.482 10.495 10.501 10.509 10.624 10.097 10.344 10.592 10.848 10.097 10.345 10.6 10.814 10.952 10.2 10.151 10.256 10.218 10.191 10.279 10.811 10.67 22.06
13000.0 7.0 0.233 9.208 -0.885 9.636 10.141 10.094 10.158 10.212 10.363 10.402 10.444 10.335 10.346 10.375 10.417 10.435 10.451 10.474 10.485 10.438 10.452 10.459 10.467 10.492 10.001 10.265 10.522 10.783 10.004 10.267 10.53 10.749 10.889 10.115 10.057 10.185 10.133 10.098 10.209 10.566 10.495 17.13
13500.0 7.0 0.236 9.034 -0.982 9.508 10.043 10.016 10.085 10.147 10.31 10.353 10.398 10.277 10.292 10.326 10.371 10.391 10.409 10.434 10.446 10.395 10.409 10.417 10.427 10.364 9.911 10.191 10.455 10.721 9.917 10.192 10.463 10.686 10.829 10.034 9.968 10.117 10.052 10.01 10.141 10.347 10.329 13.04
14000.0 7.0 0.238 8.866 -1.077 9.386 9.952 9.943 10.016 10.085 10.259 10.306 10.353 10.222 10.241 10.279 10.327 10.35 10.368 10.395 10.408 10.353 10.369 10.377 10.387 10.241 9.826 10.12 10.391 10.661 9.835 10.122 10.399 10.625 10.771 9.958 9.884 10.052 9.975 9.927 10.076 10.146 10.17 9.767
14500.0 7.0 0.24 8.704 -1.169 9.269 9.867 9.873 9.95 10.025 10.21 10.261 10.31 10.169 10.192 10.233 10.284 10.309 10.329 10.358 10.371 10.313 10.329 10.339 10.349 10.123 9.747 10.053 10.33 10.603 9.758 10.055 10.338 10.567 10.715 9.886 9.804 9.99 9.903 9.849 10.014 9.959 10.019 7.313
15000.0 7.0 0.242 8.548 -1.259 9.158 9.786 9.807 9.887 9.968 10.162 10.217 10.268 10.118 10.145 10.189 10.242 10.27 10.291 10.321 10.336 10.274 10.291 10.301 10.312 10.011 9.671 9.989 10.271 10.548 9.685 9.991 10.279 10.511 10.662 9.817 9.728 9.931 9.834 9.774 9.955 9.783 9.875 5.539
15500.0 7.0 0.243 8.398 -1.346 9.051 9.709 9.744 9.827 9.913 10.117 10.174 10.228 10.07 10.099 10.146 10.202 10.232 10.254 10.286 10.302 10.237 10.254 10.265 10.277 9.904 9.6 9.927 10.214 10.495 9.616 9.93 10.223 10.457 10.61 9.751 9.656 9.873 9.768 9.703 9.898 9.616 9.737 4.259
16000.0 7.0 0.245 8.253 -1.43 8.949 9.636 9.682 9.769 9.86 10.072 10.133 10.189 10.022 10.055 10.105 10.163 10.196 10.218 10.252 10.269 10.2 10.218 10.23 10.242 9.802 9.531 9.868 10.16 10.443 9.549 9.871 10.168 10.405 10.561 9.687 9.586 9.818 9.704 9.635 9.843 9.457 9.605 3.33
16500.0 7.0 0.247 8.112 -1.511 8.852 9.565 9.623 9.713 9.808 10.029 10.092 10.15 9.977 10.011 10.065 10.125 10.16 10.184 10.219 10.237 10.165 10.183 10.196 10.209 9.703 9.465 9.811 10.107 10.393 9.485 9.814 10.116 10.355 10.513 9.626 9.519 9.765 9.642 9.569 9.79 9.306 9.479 2.647
17000.0 7.0 0.248 7.975 -1.591 8.758 9.498 9.566 9.658 9.758 9.987 10.053 10.113 9.932 9.97 10.025 10.088 10.125 10.15 10.187 10.206 10.13 10.149 10.162 10.176 9.609 9.401 9.756 10.055 10.345 9.423 9.758 10.064 10.306 10.466 9.567 9.454 9.713 9.583 9.505 9.738 9.161 9.358 2.139
20000.0 7.0 0.257 7.232 -2.021 8.261 9.132 9.253 9.36 9.482 9.755 9.834 9.905 9.687 9.737 9.805 9.881 9.93 9.96 10.01 10.039 9.936 9.959 9.977 9.995 9.109 9.056 9.453 9.773 10.078 9.087 9.456 9.782 10.036 10.209 9.244 9.1 9.429 9.258 9.158 9.454 8.401 8.722 0.829
25000.0 7.0 0.27 6.21 -2.599 7.598 8.622 8.809 8.936 9.087 9.415 9.513 9.601 9.33 9.397 9.484 9.578 9.645 9.687 9.761 9.799 9.654 9.686 9.711 9.738 8.444 8.573 9.023 9.37 9.695 8.615 9.027 9.38 9.649 9.838 8.786 8.603 9.023 8.799 8.671 9.049 7.412 7.887 0.2206
30000.0 7.0 0.282 5.372 -3.018 7.011 8.15 8.391 8.531 8.705 9.077 9.192 9.294 8.978 9.06 9.163 9.272 9.355 9.404 9.478 9.506 9.365 9.401 9.43 9.458 7.856 8.122 8.614 8.982 9.322 8.173 8.618 8.992 9.273 9.475 8.354 8.14 8.633 8.366 8.215 8.66 6.645 7.188 0.0
35000.0 7.0 0.294 4.654 -3.381 6.546 7.76 8.035 8.181 8.364 8.758 8.877 8.979 8.652 8.739 8.847 8.956 9.035 9.071 9.1 9.07 9.044 9.068 9.087 9.099 7.39 7.747 8.261 8.638 8.985 7.804 8.266 8.649 8.935 9.142 7.987 7.753 8.288 7.997 7.834 8.315 6.118 6.678 0.0
40000.0 7.0 0.31 4.02 -3.768 6.245 7.494 7.787 7.936 8.124 8.527 8.647 8.747 8.418 8.507 8.617 8.725 8.801 8.833 8.849 8.804 8.809 8.83 8.846 8.853 7.088 7.488 8.015 8.397 8.746 7.548 8.02 8.407 8.695 8.905 7.733 7.488 8.045 7.742 7.572 8.072 5.767 6.347 0.0
45000.0 7.0 0.326 3.451 -4.14 6.016 7.286 7.591 7.741 7.933 8.34 8.46 8.56 8.23 8.32 8.431 8.538 8.612 8.641 8.649 8.596 8.619 8.638 8.653 8.657 6.86 7.285 7.82 8.205 8.555 7.347 7.825 8.215 8.504 8.715 7.533 7.282 7.853 7.542 7.368 7.88 5.498 6.097 0.0
50000.0 7.0 0.344 2.936 -4.487 5.826 7.11 7.423 7.575 7.768 8.179 8.299 8.399 8.068 8.159 8.27 8.376 8.449 8.477 8.479 8.42 8.456 8.474 8.487 8.489 6.669 7.112 7.653 8.04 8.391 7.175 7.658 8.05 8.34 8.552 7.362 7.107 7.687 7.371 7.194 7.714 5.275 5.89 0.0
55000.0 7.0 0.361 2.471 -4.806 5.663 6.957 7.277 7.43 7.625 8.038 8.159 8.258 7.926 8.018 8.129 8.235 8.307 8.333 8.332 8.271 8.314 8.33 8.343 8.344 6.506 6.962 7.507 7.896 8.248 7.027 7.513 7.907 8.197 8.409 7.214 6.955 7.543 7.222 7.043 7.57 5.085 5.714 0.0
60000.0 7.0 0.378 2.041 -5.1 5.513 6.816 7.142 7.295 7.491 7.906 8.027 8.126 7.794 7.886 7.998 8.104 8.175 8.2 8.196 8.135 8.181 8.197 8.209 8.209 6.356 6.823 7.372 7.762 8.115 6.889 7.378 7.773 8.064 8.276 7.076 6.815 7.409 7.085 6.903 7.436 4.912 5.553 0.0
65000.0 7.0 0.395 1.647 -5.372 5.38 6.69 7.02 7.174 7.371 7.788 7.909 8.008 7.675 7.768 7.88 7.985 8.056 8.081 8.075 8.015 8.062 8.078 8.089 8.088 6.223 6.698 7.251 7.642 7.996 6.765 7.256 7.653 7.944 8.157 6.953 6.689 7.288 6.961 6.778 7.316 4.758 5.41 0.0
70000.0 7.0 0.413 1.277 -5.624 5.252 6.568 6.902 7.056 7.255 7.673 7.795 7.893 7.56 7.653 7.765 7.871 7.941 7.965 7.958 7.9 7.947 7.962 7.973 7.972 6.095 6.578 7.133 7.526 7.88 6.645 7.139 7.536 7.828 8.041 6.834 6.568 7.172 6.842 6.657 7.199 4.612 5.274 0.0
75000.0 7.0 0.431 0.929 -5.859 5.131 6.452 6.789 6.944 7.144 7.563 7.685 7.784 7.45 7.543 7.656 7.761 7.831 7.855 7.848 7.792 7.838 7.852 7.863 7.861 5.974 6.463 7.021 7.414 7.769 6.531 7.027 7.425 7.717 7.931 6.72 6.452 7.06 6.728 6.542 7.088 4.475 5.145 0.0
80000.0 7.0 0.449 0.607 -6.079 5.021 6.346 6.686 6.842 7.042 7.463 7.585 7.684 7.349 7.442 7.556 7.662 7.731 7.755 7.748 7.694 7.738 7.752 7.762 7.761 5.864 6.358 6.918 7.312 7.667 6.427 6.924 7.323 7.616 7.83 6.616 6.347 6.958 6.624 6.437 6.986 4.35 5.028 0.0
85000.0 7.0 0.465 0.304 -6.285 4.918 6.247 6.589 6.746 6.947 7.369 7.492 7.591 7.255 7.348 7.462 7.568 7.638 7.661 7.655 7.604 7.644 7.659 7.669 7.667 5.761 6.26 6.822 7.217 7.573 6.329 6.828 7.228 7.521 7.735 6.518 6.248 6.863 6.526 6.339 6.89 4.234 4.919 0.0
90000.0 7.0 0.482 0.017 -6.479 4.819 6.152 6.496 6.653 6.855 7.278 7.401 7.501 7.164 7.258 7.372 7.478 7.548 7.571 7.565 7.517 7.554 7.569 7.579 7.577 5.662 6.166 6.73 7.125 7.481 6.235 6.735 7.136 7.429 7.644 6.425 6.153 6.771 6.433 6.244 6.798 4.123 4.814 0.0
100000.0 7.0 0.513 -0.507 -6.835 4.641 5.979 6.328 6.486 6.69 7.115 7.239 7.338 6.999 7.094 7.209 7.316 7.386 7.409 7.406 7.363 7.392 7.407 7.417 7.417 5.484 5.995 6.562 6.959 7.316 6.065 6.568 6.97 7.264 7.479 6.255 5.981 6.605 6.263 6.073 6.632 3.923 4.626 0.0
110000.0 7.0 0.544 -0.986 -7.156 4.475 5.818 6.17 6.33 6.535 6.962 7.086 7.187 6.846 6.941 7.057 7.164 7.235 7.259 7.258 7.221 7.241 7.256 7.267 7.267 5.318 5.835 6.406 6.804 7.162 5.905 6.411 6.814 7.109 7.325 6.097 5.821 6.449 6.104 5.913 6.477 3.738 4.451 0.0
120000.0 7.0 0.584 -1.44 -7.448 4.306 5.653 6.008 6.169 6.375 6.804 6.93 7.031 6.687 6.784 6.9 7.008 7.08 7.104 7.106 7.075 7.086 7.101 7.112 7.114 5.149 5.671 6.244 6.644 7.002 5.742 6.25 6.654 6.95 7.166 5.934 5.656 6.289 5.941 5.749 6.317 3.553 4.274 0.0
130000.0 7.0 0.621 -1.855 -7.716 4.153 5.504 5.862 6.023 6.231 6.662 6.788 6.89 6.544 6.641 6.759 6.868 6.94 6.965 6.971 6.944 6.946 6.962 6.974 6.977 4.997 5.523 6.099 6.499 6.859 5.594 6.104 6.51 6.806 7.023 5.787 5.508 6.145 5.794 5.601 6.172 3.385 4.115 0.0
140000.0 7.0 0.653 -2.231 -7.964 4.02 5.374 5.734 5.896 6.105 6.538 6.665 6.768 6.419 6.517 6.636 6.745 6.818 6.844 6.854 6.832 6.825 6.841 6.854 6.858 4.863 5.393 5.971 6.373 6.733 5.465 5.977 6.384 6.681 6.898 5.658 5.378 6.018 5.666 5.471 6.046 3.238 3.975 0.0
150000.0 7.0 0.685 -2.582 -8.195 3.894 5.25 5.612 5.776 5.986 6.42 6.548 6.652 6.301 6.4 6.519 6.629 6.703 6.73 6.744 6.726 6.71 6.727 6.741 6.746 4.737 5.271 5.851 6.253 6.614 5.343 5.856 6.264 6.562 6.779 5.536 5.255 5.899 5.544 5.348 5.926 3.1 3.843 0.0
1500.0 7.5 0.317 19.505 1.061 23.257 20.905 18.444 18.248 20.388 20.538 20.377 22.44 20.55 20.467 20.222 22.411 17.231 16.518 15.656 14.715 16.897 16.506 16.584 16.242 24.274 19.698 18.102 20.517 20.215 19.321 18.18 20.588 20.283 20.081 18.887 18.841 19.151 18.925 18.846 19.215 58.691 34.198 15520.0
1750.0 7.5 0.317 18.835 0.859 22.52 20.371 17.976 17.595 18.999 19.346 19.412 21.075 19.375 19.269 19.274 21.042 16.695 16.056 15.297 14.471 16.398 16.049 16.082 15.786 23.524 19.211 17.492 19.214 19.031 18.848 17.555 19.267 19.045 19.035 18.234 18.301 18.158 18.266 18.306 18.21 56.63 33.115 13520.0
2000.0 7.5 0.317 18.255 0.636 21.904 19.91 17.619 17.082 17.874 18.319 18.564 19.859 18.37 18.242 18.444 19.819 16.217 15.65 14.95 14.227 15.956 15.648 15.637 15.363 22.879 18.818 17.045 18.155 18.051 18.47 17.085 18.191 18.032 18.151 17.688 17.897 17.354 17.713 17.901 17.393 54.8 32.098 11860.0
2250.0 7.5 0.317 17.743 0.405 21.354 19.505 17.338 16.676 16.974 17.418 17.787 18.743 17.497 17.345 17.684 18.7 15.768 15.268 14.613 13.98 15.543 15.27 15.22 14.966 22.297 18.474 16.722 17.31 17.248 18.148 16.741 17.335 17.212 17.401 17.222 17.59 16.699 17.242 17.595 16.728 53.126 31.212 10500.0
2500.0 7.5 0.317 17.285 0.204 20.86 19.144 17.081 16.329 16.262 16.707 17.149 17.806 16.79 16.641 17.06 17.765 15.383 14.937 14.315 13.756 15.191 14.943 14.859 14.623 21.779 18.167 16.458 16.649 16.601 17.856 16.462 16.663 16.554 16.784 16.812 17.325 16.16 16.827 17.33 16.182 51.684 30.437 9379.0
2750.0 7.5 0.317 16.87 0.013 20.411 18.82 16.857 16.042 15.683 16.046 16.531 17.017 16.122 15.987 16.456 16.978 15.017 14.628 14.046 13.54 14.854 14.636 14.54 14.321 21.309 17.892 16.246 16.132 16.05 17.597 16.24 16.137 16.005 16.222 16.457 17.099 15.712 16.471 17.104 15.727 50.225 29.669 8470.0
3000.0 7.5 0.318 16.492 -0.152 19.964 18.502 16.644 15.797 15.238 15.449 15.951 16.327 15.511 15.398 15.884 16.291 14.678 14.343 13.792 13.329 14.54 14.351 14.248 14.042 20.848 17.624 16.056 15.74 15.603 17.346 16.045 15.738 15.57 15.726 16.152 16.886 15.347 16.166 16.892 15.359 48.723 28.899 7689.0
3250.0 7.5 0.318 16.143 -0.284 19.507 18.174 16.427 15.58 14.911 14.899 15.365 15.631 14.959 14.854 15.307 15.598 14.324 14.04 13.514 13.101 14.212 14.05 13.937 13.742 20.384 17.348 15.871 15.447 15.256 17.087 15.858 15.441 15.243 15.31 15.891 16.67 15.058 15.907 16.677 15.068 47.143 28.089 6964.0
3500.0 7.5 0.318 15.82 -0.379 19.025 17.832 16.199 15.379 14.67 14.4 14.784 14.982 14.495 14.359 14.735 14.951 13.97 13.733 13.233 12.873 13.88 13.743 13.627 13.439 19.898 17.059 15.679 15.22 14.994 16.815 15.667 15.211 15.001 14.984 15.662 16.443 14.828 15.681 16.45 14.837 45.361 27.209 6186.0
3750.0 7.5 0.319 15.519 -0.44 18.521 17.473 15.959 15.181 14.475 13.989 14.224 14.347 14.156 13.948 14.184 14.318 13.602 13.401 12.945 12.662 13.531 13.411 13.295 13.122 19.391 16.754 15.478 15.025 14.79 16.529 15.466 15.016 14.809 14.744 15.45 16.201 14.63 15.47 16.209 14.641 43.228 26.275 5285.0
4000.0 7.5 0.319 15.236 -0.469 17.982 17.09 15.705 14.976 14.294 13.68 13.715 13.749 13.917 13.637 13.684 13.719 13.228 13.051 12.679 12.51 13.174 13.061 12.952 12.807 18.848 16.43 15.264 14.837 14.612 16.225 15.253 14.829 14.634 14.552 15.236 15.942 14.444 15.257 15.951 14.455 40.65 25.269 4499.0
4250.0 7.5 0.32 14.971 -0.455 17.387 16.673 15.425 14.751 14.106 13.457 13.299 13.278 13.728 13.413 13.274 13.247 12.908 12.753 12.494 12.42 12.866 12.762 12.669 12.565 18.247 16.075 15.027 14.638 14.434 15.892 15.017 14.63 14.455 14.376 15.004 15.652 14.248 15.025 15.662 14.259 36.582 24.081 3847.0
4500.0 7.5 0.321 14.719 -0.4 16.757 16.226 15.119 14.503 13.901 13.281 12.997 12.947 13.551 13.237 12.978 12.916 12.67 12.544 12.383 12.347 12.637 12.551 12.483 12.42 17.609 15.691 14.764 14.419 14.244 15.53 14.756 14.412 14.262 14.195 14.747 15.331 14.034 14.767 15.343 14.046 32.569 22.972 3311.0
4750.0 7.5 0.323 14.478 -0.33 16.15 15.787 14.808 14.248 13.692 13.122 12.786 12.699 13.377 13.079 12.77 12.668 12.492 12.401 12.302 12.283 12.47 12.406 12.361 12.324 16.996 15.308 14.495 14.196 14.051 15.167 14.488 14.19 14.065 14.013 14.481 15.003 13.814 14.502 15.017 13.828 29.659 21.963 2814.0
5000.0 7.5 0.326 14.245 -0.26 15.569 15.367 14.505 13.997 13.486 12.969 12.628 12.528 13.206 12.927 12.613 12.497 12.366 12.3 12.232 12.221 12.35 12.303 12.272 12.246 16.409 14.939 14.231 13.975 13.86 14.817 14.225 13.97 13.87 13.834 14.219 14.681 13.598 14.239 14.697 13.612 28.352 20.986 2223.0
5250.0 7.5 0.33 14.02 -0.203 15.022 14.98 14.223 13.762 13.293 12.826 12.499 12.406 13.046 12.786 12.484 12.375 12.27 12.218 12.169 12.163 12.257 12.22 12.197 12.178 15.856 14.597 13.985 13.769 13.682 14.491 13.98 13.765 13.688 13.665 13.97 14.378 13.396 13.99 14.396 13.411 27.287 20.125 1786.0
